season,week,season_type,game_id,team,opponent_team,completions,attempts,passing_yards,passing_tds,passing_interceptions,sacks_suffered,sack_yards_lost,passing_air_yards,passing_yards_after_catch,passing_first_downs,passing_epa,passing_cpoe,carries,rushing_yards,rushing_tds,rushing_first_downs,rushing_epa,receptions,targets,receiving_yards,receiving_tds,receiving_air_yards,receiving_yards_after_catch,receiving_first_downs,receiving_epa,def_tackles_solo,def_sacks,def_sack_yards,def_qb_hits,def_interceptions,def_pass_defended,def_tds,def_safeties,def_fumbles_forced,def_tackles_for_loss,special_teams_tds,fumble_recovery_tds,fg_made,fg_att,fg_long,fg_pct,pat_made,pat_att,pat_pct,pt_att,pt_yards,pt_net_yards,pt_inside_20,punt_returns,punt_return_yards,kickoff_returns,kickoff_return_yards,penalties,penalty_yards,fumbles_total,fumbles_lost_total,timeouts,ingest_run_id
2026,1,REG,2026_01_NO_DET,DET,NO,26,39,206,2,0,1.0,-2,207,97.0,10,5.85451096913376,-2.90968670294835,33,165,2,14,-0.707207207975444,26,39,206,2,207,97.0,10,1.27058234496572,54,5.0,32.0,9,2,8,0,0,1,7,0,0,1,1,23,1.0,4,4,1.0,7,336,295,3,3,35,4,84,8,61,2,1,3,20260925T013701Z
2026,1,REG,2026_01_GB_MIN,GB,MIN,21,42,387,2,1,4.0,-34,469,160.0,16,-2.70364609367362,-9.65405449271202,21,66,0,3,-9.00967433155165,21,40,387,2,469,160.0,16,8.11428885262894,45,3.0,19.0,6,1,2,0,0,0,4,0,0,3,3,59,1.0,1,2,0.5,3,116,103,2,2,17,6,176,12,98,2,1,3,20260925T013701Z
2026,1,REG,2026_01_BUF_HOU,HOU,BUF,26,38,274,2,0,3.0,-17,322,114.0,11,1.49644281327999,3.16167747652209,32,124,2,10,3.53381886548596,26,37,274,2,322,114.0,11,10.7331342189565,29,2.0,11.0,4,0,5,0,0,1,3,0,0,1,1,58,1.0,4,4,1.0,4,208,198,2,0,0,8,202,7,106,2,2,4,20260925T013701Z
2026,1,REG,2026_01_BAL_IND,IND,BAL,19,31,166,1,1,2.0,-17,201,76.0,8,-9.61222987736863,-5.06045787498869,20,102,2,8,2.4474834225839,19,29,166,1,201,76.0,8,-8.04769393852502,43,2.0,20.0,4,0,0,0,0,1,0,0,0,1,1,58,1.0,2,3,0.666666666666667,5,263,233,0,0,0,6,197,4,29,1,1,2,20260925T013701Z
2026,1,REG,2026_01_CLE_JAX,JAX,CLE,18,23,245,4,0,1.0,-11,242,61.0,13,19.021475746762,22.3253698576064,32,126,0,8,-1.0985837582445,18,21,245,4,242,61.0,13,22.3136960187694,35,5.0,20.0,8,1,2,0,0,2,6,0,0,2,2,47,1.0,4,4,1.0,2,108,98,1,1,-5,3,82,4,25,1,0,0,20260925T013701Z
2026,1,REG,2026_01_DEN_KC,KC,DEN,15,27,184,2,1,2.0,-12,133,166.0,7,-2.30183139477449,-11.91810131073,38,220,2,11,8.53954429907026,15,25,184,2,133,166.0,7,2.6707560090581,26,3.0,9.0,5,1,4,0,0,1,3,0,0,1,1,28,1.0,4,4,1.0,4,218,182,2,2,7,3,78,7,60,2,0,2,20260925T013701Z
2026,1,REG,2026_01_SF_LA,LA,SF,17,28,168,0,1,0.0,0,255,88.0,6,-5.42227216711035,-4.74207103252411,29,122,1,7,-3.79191851150244,17,27,168,0,255,88.0,6,-10.2786799960886,36,0.0,0.0,2,1,7,0,0,0,1,0,0,0,0,,,1,1,1.0,3,145,128,2,1,11,5,119,4,43,2,1,1,20260925T013701Z
2026,1,REG,2026_01_ARI_LAC,LAC,ARI,17,27,209,1,1,3.0,-22,273,78.0,9,-5.60766631702427,-6.20937612321642,21,81,1,6,-6.83424285898218,17,27,209,1,273,78.0,9,0.009720406786073,43,1.0,0.0,6,0,4,0,0,0,1,0,0,0,0,,,2,2,1.0,2,99,99,1,0,0,4,80,7,64,1,1,4,20260925T013701Z
2026,1,REG,2026_01_MIA_LV,LV,MIA,21,30,160,3,2,0.0,0,226,70.0,10,0.393194662359296,0.708901060038599,37,130,0,9,-4.97503309097374,21,29,160,3,226,70.0,10,0.907319659319459,25,5.0,35.0,11,1,6,0,0,2,7,0,0,2,2,47,1.0,3,3,1.0,3,190,153,1,2,35,2,95,6,29,0,0,3,20260925T013701Z
2026,1,REG,2026_01_MIA_LV,MIA,LV,15,27,220,0,1,5.0,-35,309,96.0,7,-5.48974969708947,-8.85024655748297,18,74,1,4,-2.56460767059029,15,27,220,0,309,96.0,7,-0.711687360930528,37,0.0,0.0,2,2,5,0,0,0,7,0,0,2,3,41,0.666666666666667,1,1,1.0,4,183,148,2,1,17,5,162,8,61,2,1,6,20260925T013701Z
2026,1,REG,2026_01_GB_MIN,MIN,GB,15,24,151,3,1,3.0,-19,176,46.0,8,0.518816763734966,-4.89261241062828,34,107,2,6,-1.67508038404048,15,23,151,3,176,46.0,8,5.78373370712116,45,4.0,34.0,15,1,4,0,0,2,7,0,0,1,1,38,1.0,4,4,1.0,4,161,144,3,1,13,5,179,3,15,0,0,1,20260925T013701Z
2026,1,REG,2026_01_NE_SEA,NE,SEA,23,33,178,1,3,3.0,-10,221,111.0,9,-4.62135415498598,5.97045065895204,31,109,0,7,-2.72373997123214,23,31,178,1,221,111.0,9,-0.506022419640446,38,2.0,12.0,6,0,2,0,0,0,3,0,0,1,1,50,1.0,1,1,1.0,4,177,168,3,0,0,4,107,7,50,0,0,4,20260925T013701Z
2026,1,REG,2026_01_NO_DET,NO,DET,35,56,410,3,2,5.0,-32,483,116.0,19,-1.00732027256654,-1.20560446610818,25,91,1,7,-1.65623741107993,35,52,410,3,483,116.0,19,11.9186756246787,42,1.0,2.0,8,0,5,0,0,1,5,0,0,1,2,28,0.5,3,3,1.0,5,238,203,2,4,21,4,74,6,53,2,1,5,20260925T013701Z
2026,1,REG,2026_01_DAL_NYG,NYG,DAL,23,29,230,3,0,2.0,-1,245,86.0,14,21.9124518483004,13.3835581869915,37,165,1,11,-0.68145588398329,23,29,230,3,245,86.0,14,22.838031111256,37,0.0,0.0,3,1,3,0,0,0,1,0,0,0,0,,,4,4,1.0,1,46,46,1,0,0,3,65,10,114,4,1,3,20260925T013701Z
2026,1,REG,2026_01_NYJ_TEN,NYJ,TEN,19,24,215,0,0,0.0,0,168,82.0,7,9.75485210445876,12.8360209257706,39,152,2,11,-2.23403974393329,19,23,215,0,168,82.0,7,9.91431939921276,30,3.0,13.0,5,0,1,0,0,1,4,0,0,3,4,52,0.75,2,2,1.0,3,139,144,2,2,29,0,0,8,48,1,0,4,20260925T013701Z
2026,1,REG,2026_01_WAS_PHI,PHI,WAS,14,25,203,3,0,3.0,-21,225,65.0,6,1.27337632780823,0.867941298268058,25,136,0,4,2.34845786972437,14,22,203,3,225,65.0,6,8.01054342613484,41,1.0,1.0,2,0,2,0,0,1,2,0,0,1,1,35,1.0,3,3,1.0,7,361,308,4,4,37,3,75,5,40,0,0,2,20260925T013701Z
2026,1,REG,2026_01_ATL_PIT,PIT,ATL,24,41,221,1,0,2.0,-15,407,121.0,10,-9.6826911436115,1.23448287313049,21,58,0,3,-5.97938267892459,24,37,221,1,407,121.0,10,-6.98576535565344,37,4.0,25.0,5,2,6,1,0,2,7,0,0,2,3,43,0.666666666666667,2,2,1.0,4,194,161,2,2,13,3,74,7,52,1,1,5,20260925T013701Z
2026,1,REG,2026_01_NE_SEA,SEA,NE,17,24,200,1,0,2.0,-12,154,104.0,9,4.36844890306879,2.3635162661473,22,97,0,4,-1.28509881172795,17,24,200,1,154,104.0,9,7.7281134084164,44,3.0,10.0,5,3,6,0,0,0,9,0,0,2,2,30,1.0,1,1,1.0,5,227,227,3,1,9,3,80,10,98,0,0,6,20260925T013701Z
2026,1,REG,2026_01_SF_LA,SF,LA,25,34,205,3,1,0.0,0,149,117.0,12,4.82562753588093,0.771556181066177,30,174,0,10,6.6154963959707,25,34,205,3,149,117.0,12,4.82562753588093,33,0.0,0.0,8,1,4,0,0,2,2,0,0,2,3,56,0.666666666666667,3,3,1.0,2,94,63,0,2,17,2,74,2,21,0,0,4,20260925T013701Z
2026,1,REG,2026_01_TB_CIN,TB,CIN,23,28,216,0,0,4.0,-23,143,167.0,12,-5.41051944553709,14.0204619478296,20,89,2,5,-1.53364448441425,23,27,216,0,143,167.0,12,8.55776604590938,46,1.0,9.0,6,1,6,1,0,0,5,0,0,2,2,51,1.0,3,3,1.0,0,0,0,0,1,13,7,206,8,39,4,4,4,20260925T013701Z
2026,1,REG,2026_01_NYJ_TEN,TEN,NYJ,19,32,140,1,0,3.0,-13,190,78.0,6,-7.35125374553204,0.389746470110757,14,68,0,4,1.53868879962829,19,28,140,1,190,78.0,6,0.0389836992468617,31,0.0,0.0,1,0,2,0,0,0,2,0,0,1,1,42,1.0,1,1,1.0,7,326,237,1,1,-5,3,62,4,25,1,1,4,20260925T013701Z
2026,1,REG,2026_01_WAS_PHI,WAS,PHI,18,34,164,2,0,1.0,-1,317,71.0,10,3.90583545517296,-3.44530277211091,32,132,1,9,0.167146355951629,18,29,164,2,317,71.0,10,7.96178792627182,32,3.0,21.0,5,0,2,0,0,0,10,0,0,1,2,55,0.5,1,2,0.5,6,318,261,0,4,53,5,154,6,45,1,0,3,20260925T013701Z
2026,2,REG,2026_02_SEA_ARI,ARI,SEA,17,28,95,1,1,2.0,-14,109,58.0,4,-8.08428018429549,-5.56912662891241,17,70,0,4,-7.20181164483074,17,26,95,1,109,58.0,4,-2.12163902533939,39,1.0,16.0,3,0,3,0,0,2,6,0,0,0,0,,,1,1,1.0,7,289,260,3,0,0,3,96,6,48,0,0,2,20260925T013701Z
2026,2,REG,2026_02_CAR_ATL,ATL,CAR,18,32,145,0,3,3.0,-16,159,106.0,10,-25.0506886480251,-18.8452811010422,32,157,0,7,-6.66513916029362,18,31,145,0,159,106.0,10,-16.6600001886944,34,2.0,15.0,8,0,4,0,0,1,3,0,0,1,2,41,0.5,0,0,,3,151,102,1,1,7,4,79,6,39,2,2,1,20260925T013701Z
2026,2,REG,2026_02_NO_BAL,BAL,NO,21,31,235,1,1,3.0,-31,321,84.0,11,3.31739675468343,7.85623542193709,22,108,1,8,2.99457216518931,21,29,235,1,321,84.0,11,10.0153142292128,44,3.0,19.0,4,0,2,0,0,0,7,0,0,1,2,49,0.5,2,2,1.0,3,124,111,0,0,0,4,108,7,34,0,0,5,20260925T013701Z
2026,2,REG,2026_02_DET_BUF,BUF,DET,20,31,248,3,0,2.0,-5,235,87.0,14,15.0488080361392,5.71868526084082,36,203,3,15,9.80940009452752,20,28,248,3,235,87.0,14,19.038957536919,40,4.0,38.0,11,0,7,0,0,1,5,0,0,0,0,,,5,6,0.833333333333333,2,83,83,1,3,36,4,93,5,46,1,0,4,20260925T013701Z
2026,2,REG,2026_02_CAR_ATL,CAR,ATL,23,36,287,3,0,2.0,-15,311,88.0,12,11.0700347998962,11.5891645196825,22,68,0,5,-5.06818399322219,23,32,287,3,311,88.0,12,16.2108102619849,41,2.0,9.0,5,3,9,1,0,1,3,0,0,2,2,37,1.0,4,4,1.0,4,193,186,3,2,49,2,53,9,63,1,0,2,20260925T013701Z
2026,2,REG,2026_02_MIN_CHI,CHI,MIN,20,35,192,0,1,4.0,-29,189,130.0,7,-3.89225104875195,-2.40125586589177,31,134,0,9,-4.95893175510094,20,30,192,0,189,130.0,7,4.20361912896624,31,3.0,16.0,4,0,3,0,0,0,5,0,0,1,2,50,0.5,0,0,,4,195,184,3,3,30,3,68,8,58,2,1,6,20260925T013701Z
2026,2,REG,2026_02_CIN_HOU,CIN,HOU,20,31,207,2,0,5.0,-25,173,75.0,9,-0.547725591643175,-6.50844410542519,23,85,0,3,-4.78379818418762,20,31,207,2,173,75.0,9,5.45029352546211,40,4.0,39.0,7,0,8,0,0,0,8,0,0,2,2,57,1.0,2,2,1.0,8,345,313,4,3,19,3,90,12,78,0,0,3,20260925T013701Z
2026,2,REG,2026_02_CLE_TB,CLE,TB,24,30,238,2,0,2.0,-15,108,163.0,10,10.3738102972507,6.42843763033549,23,44,0,3,-9.87736152939033,24,30,238,2,108,163.0,10,12.5858993860543,43,3.0,6.0,5,1,3,0,0,1,7,0,0,3,3,50,1.0,2,2,1.0,4,198,184,2,0,0,6,143,6,50,0,0,5,20260925T013701Z
2026,2,REG,2026_02_WAS_DAL,DAL,WAS,26,31,279,4,0,2.0,-13,244,88.0,16,15.1040259846231,18.0240679171778,21,66,0,3,-2.86496093287133,26,31,279,4,244,88.0,16,18.7613285021072,47,0.0,0.0,6,0,4,0,0,2,3,0,0,3,3,60,1.0,4,4,1.0,1,48,34,0,1,9,4,122,5,32,0,0,5,20260925T013701Z
2026,2,REG,2026_02_JAX_DEN,DEN,JAX,22,31,288,1,1,0.0,0,268,97.0,13,8.43086637615208,11.4757875944006,28,104,1,7,-4.79748530051897,22,29,288,1,268,97.0,13,10.7674726448022,36,2.0,16.0,7,1,7,0,0,0,5,0,0,2,2,45,1.0,2,2,1.0,3,137,125,0,2,2,3,84,10,53,1,0,1,20260925T013701Z
2026,2,REG,2026_02_DET_BUF,DET,BUF,26,38,327,4,0,4.0,-38,337,126.0,19,18.5762867453741,5.99711796170787,20,66,0,2,-4.16679297920821,26,38,327,4,337,126.0,19,26.2447977026459,38,2.0,5.0,8,0,1,0,0,1,3,0,0,1,1,31,1.0,4,4,1.0,4,206,170,1,0,0,6,157,10,58,2,0,4,20260925T013701Z
2026,2,REG,2026_02_GB_NYJ,GB,NYJ,16,29,145,2,0,3.0,-9,216,94.0,8,-3.16850428629777,-13.596061694211,18,63,0,4,-7.94056433270453,16,29,145,2,216,94.0,8,-1.57790825920756,40,4.0,29.0,10,0,4,0,0,0,9,0,0,2,2,34,1.0,2,2,1.0,6,324,302,3,4,92,4,116,14,133,5,1,5,20260925T013701Z
2026,2,REG,2026_02_CIN_HOU,HOU,CIN,30,56,353,0,0,4.0,-39,475,139.0,15,-9.66340026954493,-8.43130749464035,18,60,0,3,-9.68923680233906,30,50,353,0,475,139.0,15,4.04654721801291,33,5.0,25.0,10,0,3,0,0,0,8,0,0,2,3,45,0.666666666666667,0,0,,5,207,188,2,3,32,4,93,9,83,1,0,6,20260925T013701Z
2026,2,REG,2026_02_IND_KC,IND,KC,22,31,210,1,1,0.0,0,162,106.0,12,5.88635097563383,3.94283811251322,32,119,2,9,3.84580402582651,22,30,210,1,162,106.0,12,6.69227154183318,43,2.0,11.0,4,0,4,0,0,0,4,0,0,3,3,49,1.0,3,3,1.0,2,86,78,2,0,0,6,160,5,30,0,0,7,20260925T013701Z
2026,2,REG,2026_02_JAX_DEN,JAX,DEN,17,29,189,0,1,2.0,-16,302,36.0,8,-4.11505365912874,0.915374340755599,24,95,1,9,1.49894421015051,17,28,189,0,302,36.0,8,0.37944135180603,38,0.0,0.0,3,1,3,0,0,0,2,0,0,2,3,44,0.666666666666667,1,1,1.0,4,185,183,3,2,12,4,104,4,40,1,0,6,20260925T013701Z
2026,2,REG,2026_02_IND_KC,KC,IND,32,47,382,3,0,2.0,-11,262,220.0,19,13.4245551243568,3.73128153557001,29,152,0,10,4.43363902548843,32,43,382,3,262,220.0,19,17.0874336899635,37,0.0,0.0,4,1,5,0,0,0,6,0,0,4,5,46,0.8,3,3,1.0,2,109,109,2,2,8,6,167,8,86,0,0,6,20260925T013701Z
2026,2,REG,2026_02_NYG_LA,LA,NYG,22,31,327,4,1,1.0,-9,331,127.0,15,18.633953401768,7.27263748645783,28,163,0,8,-6.67845914274221,22,30,327,4,331,127.0,15,19.9592927861959,30,2.0,1.0,8,1,10,0,0,1,3,0,0,0,1,,0.0,4,4,1.0,3,143,123,1,4,32,2,29,6,50,2,1,4,20260925T013701Z
2026,2,REG,2026_02_LV_LAC,LAC,LV,15,27,192,1,2,3.0,-9,269,104.0,8,-0.563133629146047,-6.27663032366679,32,127,1,7,-15.623703687801,15,26,192,1,269,104.0,8,3.2072836383106,30,2.0,5.0,10,1,4,0,0,1,4,0,0,0,1,,0.0,2,2,1.0,5,258,242,2,0,0,3,73,8,45,6,1,5,20260925T013701Z
2026,2,REG,2026_02_LV_LAC,LV,LAC,19,29,253,3,1,2.0,-5,283,78.0,11,5.97274090570863,2.89057739849748,29,57,0,2,-13.5201662332298,19,29,253,3,283,78.0,11,8.34744446084369,35,3.0,9.0,9,2,3,0,1,4,2,0,0,1,1,59,1.0,3,3,1.0,6,277,277,4,1,16,2,35,6,42,1,0,4,20260925T013701Z
2026,2,REG,2026_02_MIA_SF,MIA,SF,14,23,197,1,0,4.0,-15,169,105.0,8,4.45391675174808,-8.61711048561594,29,102,0,4,-4.50999359844869,14,23,197,1,169,105.0,8,8.85484116295566,28,0.0,0.0,2,0,0,0,0,0,1,0,0,2,3,28,0.666666666666667,1,1,1.0,3,130,129,0,1,7,6,148,7,50,2,0,4,20260925T013701Z
2026,2,REG,2026_02_MIN_CHI,MIN,CHI,11,20,143,0,0,3.0,-16,157,70.0,6,0.513303766384119,-8.32055571832155,28,119,0,4,-4.48560582526261,11,19,143,0,157,70.0,6,5.19775518100555,41,4.0,29.0,10,1,7,0,0,1,5,0,0,3,3,49,1.0,0,0,,6,297,267,2,1,11,2,42,3,25,1,0,3,20260925T013701Z
2026,2,REG,2026_02_PIT_NE,NE,PIT,14,22,208,0,1,3.0,-17,196,69.0,6,-1.26341785136516,0.852363592102414,28,136,1,7,1.72697925998364,14,21,208,0,196,69.0,6,-1.21726624247468,41,4.0,43.0,7,1,5,0,0,2,6,0,1,2,3,45,0.666666666666667,2,2,1.0,4,185,164,1,4,40,1,29,6,31,2,1,3,20260925T013701Z
2026,2,REG,2026_02_NO_BAL,NO,BAL,27,34,252,1,0,3.0,-19,213,115.0,11,10.9289833450863,14.0510380268097,27,65,1,6,-1.38930535352862,27,32,252,1,213,115.0,11,16.4875914479942,35,3.0,31.0,6,1,3,0,0,0,4,0,0,3,3,51,1.0,1,1,1.0,3,117,117,1,2,13,3,91,5,35,1,0,1,20260925T013701Z
2026,2,REG,2026_02_NYG_LA,NYG,LA,14,32,131,0,1,2.0,-1,341,55.0,8,-17.606254079672,-22.2089681774378,21,52,0,2,-5.99965718916176,14,32,131,0,341,55.0,8,-15.7874245940475,37,1.0,9.0,2,1,4,0,0,2,1,0,0,2,2,52,1.0,0,0,,6,315,263,3,0,0,4,105,3,20,1,0,0,20260925T013701Z
2026,2,REG,2026_02_GB_NYJ,NYJ,GB,27,41,247,1,0,4.0,-29,251,160.0,11,4.28423701151041,5.86481971873177,27,67,1,6,-11.8417230520863,27,36,247,1,251,160.0,11,12.879026004317,29,3.0,9.0,3,0,3,0,0,4,6,0,0,1,1,32,1.0,2,2,1.0,7,344,232,2,3,2,5,124,13,156,3,0,6,20260925T013701Z
2026,2,REG,2026_02_PHI_TEN,PHI,TEN,26,37,264,2,2,3.0,-12,292,62.0,16,8.76701317328149,15.9417549476904,32,89,1,5,-5.96073904831428,26,34,264,2,292,62.0,16,14.3122036281857,39,2.0,14.0,3,0,1,0,0,1,6,0,0,1,1,58,1.0,3,3,1.0,2,110,101,2,2,31,0,0,4,35,0,0,6,20260925T013701Z
2026,2,REG,2026_02_PIT_NE,PIT,NE,23,40,187,0,1,4.0,-43,215,130.0,10,-21.8273007570836,-8.30043240173443,23,91,0,4,-2.00707770820009,23,37,187,0,215,130.0,10,-6.01879015584085,29,3.0,17.0,7,1,4,0,0,2,8,0,0,1,2,56,0.5,0,0,,8,385,325,3,2,21,5,118,5,59,2,1,4,20260925T013701Z
2026,2,REG,2026_02_SEA_ARI,SEA,ARI,19,26,235,3,0,1.0,-16,227,108.0,12,16.0892754879684,8.66398329918201,40,162,1,9,-7.13501677507884,19,26,235,3,227,108.0,12,16.4452714064761,28,2.0,14.0,7,1,4,0,0,0,5,0,0,1,1,33,1.0,4,4,1.0,2,93,93,1,3,29,2,47,3,26,2,1,5,20260925T013701Z
2026,2,REG,2026_02_MIA_SF,SF,MIA,20,22,287,2,0,0.0,0,180,110.0,16,23.3304135263315,29.0404030254909,27,95,3,6,-1.6893447804614,20,21,287,2,180,110.0,16,26.0872842636309,28,4.0,15.0,5,0,2,0,0,1,5,0,0,0,0,,,5,5,1.0,2,93,86,2,2,1,2,54,7,78,0,0,3,20260925T013701Z
2026,2,REG,2026_02_CLE_TB,TB,CLE,21,34,182,1,1,3.0,-6,421,84.0,7,-13.5605912591436,4.24985966899178,25,137,0,9,4.50579110931722,21,33,182,1,421,84.0,7,-9.76585993146182,37,2.0,15.0,4,0,2,0,0,0,6,0,0,4,4,59,1.0,1,1,1.0,4,186,166,1,2,14,5,155,6,62,1,0,5,20260925T013701Z
2026,2,REG,2026_02_PHI_TEN,TEN,PHI,13,20,183,0,0,2.0,-14,140,104.0,7,-0.0977145342912991,6.54484454323264,29,122,2,7,3.92393836048776,13,17,183,0,140,104.0,7,4.14966893201927,41,3.0,12.0,6,2,2,0,0,0,8,0,0,2,2,37,1.0,2,2,1.0,4,203,152,1,1,9,4,101,7,45,1,0,6,20260925T013701Z
2026,2,REG,2026_02_WAS_DAL,WAS,DAL,23,35,207,2,0,0.0,0,359,89.0,11,5.86496505073907,4.85205851933535,32,182,0,11,3.39391723004519,23,34,207,2,359,89.0,11,4.90655883450696,39,2.0,13.0,6,0,2,0,0,0,3,0,0,2,3,47,0.666666666666667,2,2,1.0,1,47,38,0,1,14,6,120,5,38,3,1,4,20260925T013701Z
