espn_athlete_id,player_name,team,status,injury_type,injury_location,injury_side,return_date,short_comment,long_comment,reported_at,fetched_at_utc,source_name
639040,Teddye Buchanan,BAL,Active,,,,,"Buchanan (knee) is expected to play in Sunday's game versus Dallas, Matt Zenitz of CBSSports.com reports.","Buchanan suffered a torn ACL in December 2025 and has been working his way back since. He wasn't available for the Ravens' first two games of the 2026 campaign. However, after practicing in full Wednesday and Thursday, all signs are pointing toward Buchanan's season debut versus the Cowboys. The 2025 No. 129 overall pick finished his inaugural year by garnering 93 total tackles (49 solo), 0.5 sacks and one forced fumble.",2026-09-24 18:36:00,2026-09-24 20:37:16.310505,espn
638995,Zay Flowers,BAL,Questionable,Hamstring,Leg,Left,2026-09-27,The Ravens listed Flowers (hamstring) as a non-participant in Thursday's practice.,"As anticipated after he was spotted working out off to the side during the media-access portion of practice, Flowers went down as a non-participant for the second consecutive day. The wideout hasn't practiced in any fashion since tweaking his hamstring in the Ravens' season-opening win over the Colts, and he could be trending toward missing a second straight game this Sunday against the Cowboys in Rio de Janeiro. The Ravens were scheduled to fly to Brazil on Thursday, and, per Mike Garafolo of NFL Network, Flowers made the trip, so it seems as if he at least has a chance to play Week 3.",2026-09-24 15:40:00,2026-09-24 20:37:16.310505,espn
-2013850,John Simpson,BAL,Active,,,,,,,2026-09-24 15:08:00,2026-09-24 20:37:16.310505,espn
-2013847,Zion Young,BAL,Active,,,,,,,2026-09-24 15:08:00,2026-09-24 20:37:16.310505,espn
638955,Ronnie Stanley,BAL,Questionable,Toe,Leg,Not Specified,2026-09-27,Stanley (toe) did not participate in Wednesday's practice.,"Stanley re-injured his toe in the Ravens' Week 2 loss to the Saints. The starting left tackle has been dealing with a toe issue since the team's Week 1 win over the Colts, and it remains to be seen if he'll ultimately be able to suit up for Sunday's Week 3 matchup against the Cowboys in Brazil.",2026-09-23 21:38:00,2026-09-24 20:37:16.310505,espn
638910,Nnamdi Madubuike,BAL,Active,,,,,Madubuike (neck) was a full participant in Wednesday's practice.,"Madubuike has not practiced in full since suffering a significant neck injury in September of 2025. If he's able to participate in full throughout Week 3 prep, the defensive tackle could be cleared to make his season debut against the Cowboys in Rio on Sunday.",2026-09-23 19:44:00,2026-09-24 20:37:16.310505,espn
-2012960,Malaki Starks,BAL,Questionable,Hamstring,Leg,Not Specified,2026-09-27,questionable,questionable,2026-09-23 15:51:00,2026-09-24 20:37:16.310505,espn
-2012931,Trey Hendrickson,BAL,Questionable,Finger,Arm,Not Specified,2026-09-27,questionable,questionable,2026-09-23 15:49:00,2026-09-24 20:37:16.310505,espn
638711,Kyle Hamilton,BAL,Active,,,,,Hamilton tallied 13 tackles (seven solo) during the Ravens' 24-17 loss to the Saints on Sunday.,"Hamilton played all but one of the Ravens' 68 defensive snaps during Sunday's loss, and he was much more involved in the second half, with 10 of his career-high 13 tackles coming over the final two quarters. It was the eighth time in Hamilton's career that he logged 10-plus combined tackles, the most recent time having been Week 12 of the 2025 season. He's up to 18 combined tackles through two regular-season games and is well on pace to reach 100-plus tackles for a third consecutive year. Hamilton figures to be busy Week 3 against Dak Prescott, CeeDee Lamb and the Cowboys' passing attack.",2026-09-22 20:00:00,2026-09-24 20:37:16.310505,espn
638707,Roquan Smith,BAL,Active,,,,,Smith recorded eight tackles (two solo) during the Ravens' 24-17 loss to the Saints on Sunday.,"For a second consecutive week, Smith played every single defensive snap, and he finished second on the Ravens in tackles behind Kyle Hamilton (13). Smith is up to 19 total tackles through two regular-season games and is well on pace to reach the 100-tackle threshold for a fourth consecutive season and the eighth time in his 10-year NFL career. The Ravens' defense will have its hands full in a Week 3 tilt against the Cowboys in Rio De Janeiro, Brazil.",2026-09-22 19:51:00,2026-09-24 20:37:16.310505,espn
638598,Elijah Sarratt,BAL,Active,,,,,Sarratt was active for Sunday's 24-17 loss to the Saints but did not play any snaps in the contest.,"Sarratt was a healthy scratch for the Ravens' Week 1 win over the Colts. The wide receiver could not get on the field in Week 2 against the Saints, even with star No. 1 option Zay Flowers (hamstring) sidelined due to injury.",2026-09-21 22:22:00,2026-09-24 20:37:16.310505,espn
638594,Devontez Walker,BAL,Active,,,,,Walker caught one of his two targets for 47 yards in Sunday's 24-17 loss to the Saints.,"Walker saw 17 of the Ravens' 58 offensive snaps in Sunday's contest. The wide receiver also saw eight special-teams snaps. Walker saw nearly half as many offensive snaps as LaJohntay Wester (31), even though Zay Flowers (hamstring) was unavailable. The 2024 fourth-rounder sees most of his usage as a deep threat, but he appears hard-pressed to expand his role much beyond that of an occasional deep threat.",2026-09-21 22:09:00,2026-09-24 20:37:16.310505,espn
638593,LaJohntay Wester,BAL,Active,,,,,Wester caught one of his two targets for 14 yards in Sunday's 24-17 loss to the Saints.,"Wester was asked to step up with wide receiver Zay Flowers (hamstring) unavailable. The wide receiver played 31 of 58 offensive snaps but only saw two targets in the contest. Wester doesn't lack for speed, but it appears he may not be quite ready to handle a full role in the Ravens' offense.",2026-09-21 21:59:00,2026-09-24 20:37:16.310505,espn
638587,Justice Hill,BAL,Active,,,,,Hill rushed twice for six yards and caught two targets for 12 yards in Sunday's 24-17 loss to the Saints.,"Hill was on the field for 27 of the Ravens' 58 offensive snaps. The running back saw usage as both runner and receiver, providing a fast contrast to Derrick Henry's bulk. It appears Hill may be on track for more consistent complementary opportunities than last season behind Derrick Henry in Baltimore's new offense.",2026-09-21 21:32:00,2026-09-24 20:37:16.310505,espn
638460,Mark Andrews,BAL,Active,,,,,Andrews caught six of seven targets for 49 yards in Sunday's 24-17 loss to the Saints.,"With Zay Flowers (hamstring) and Ja'Kobi Lane (wrist) out for this one, Andrews finished second on the team in targets, two behind Rashod Bateman, who posted 7-88-1 receiving on his nine looks. Andrews ran 28 routes on Lamar Jackson's 38 dropbacks and is seeing a bigger piece of the pie at tight end this season with Isaiah Likely and Charlie Kolar now off the team. Through two games, Andrews has 10 catches for 98 yards on 13 targets. He'll be a TE1 next Sunday against the Cowboys in Brazil.",2026-09-21 15:01:00,2026-09-24 20:37:16.310505,espn
